Reported,TimeReported,Location,ReportNum,Occurred,TimeOccurred,IncidentType,Summary,GROUP1,Weekdays
12/12/2014,7:52 AM,THE ROW HOUSE,1404879,12/11/2014,8:00 PM,SERVICE,DPS officers responded to a report of a tree having fallen onto a power line outside the location.  The officers secured the area around the tree and DWP personnel were requested to remove the tree and conduct repairs.,ADMIN/SERVICE/COMPLAINT,Friday
12/12/2014,10:39 AM,KENNETH NORRIS JR. CANCER HOSPITAL RESEARCH INSTITUTE,1404880,12/12/2014,10:39 AM,SERVICE,DPS officers responded to a non-USC female who fainted while watching her mother having blood drawn.  A Rapid Response team was evaluating the female when the officers arrived and she was subsequently released at the scene.,ADMIN/SERVICE/COMPLAINT,Saturday
12/12/2014,4:54 PM,34TH ST & TROUSDALE PKY,1404882,12/12/2014,4:52 PM,TRAFFIC,"DPS officers responded to two students who collided with each other while riding their bicycles.  One of the students sustained an injury to her knee, but she did not desire medical treatment and the officers subsequently cleared the scene.",ADMIN/SERVICE/COMPLAINT,Saturday
12/12/2014,5:11 PM,USC UNIVERSITY HOSPITAL NORRIS TOWER,1404883,12/12/2014,5:50 PM,SERVICE,DPS officers responded to the location at the request of a staff supervisor who wanted them to stand by while she questioned a staff member who was possibly under the influence of an unknown substance.  The investigation was completed without incident and the officers cleared the scene.,ADMIN/SERVICE/COMPLAINT,Saturday
12/12/2014,3:06 PM,ADAMS BL & SCARFF ST,1404884,12/12/2014,4:10 PM,WARRANT,"DPS officers on routine patrol near the location observed a suspect drinking from an unseen container wrapped in a brown paper bag and detained him for investigation.  A check of the suspect's name revealed two outstanding warrants, then he was arrested and transported to 77th station for booking.",WARRANT,Saturday
12/12/2014,5:26 PM,PARKING STRUCTURE C,1404885,12/12/2014,10:06 AM,TRAFFIC,"Transportation Services personnel immobilized a student's vehicle displaying a USC parking permit that was previously reported missing.  The student contacted the Transportation Services office, agreed to pay all fees and fines and his vehicle was released.  The student was advised that the matter would be referred to Judicial Affairs.",ADMIN/SERVICE/COMPLAINT,Saturday
12/12/2014,5:02 PM,SCHOOL OF CINEMATIC ARTS,1404886,12/12/2014,5:02 PM,SERVICE,"DPS officers responded to a student complaining of difficulty breathing.  An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student, concluded that she did not require medical treatment and released her at the scene.",ADMIN/SERVICE/COMPLAINT,Saturday
12/12/2014,7:35 PM,AHMANSON CENTER FOR BIOLOGICAL RESEARCH,1404887,12/12/2014,7:35 PM,FIRE,DPS officers and LAFD Unit #15 responded to a first floor fire alarm activation from a pull station.  No smoke or fire was found.  LAFD reset the alarm then cleared the building for reentry.,HEALTH & SAFETY,Saturday
12/12/2014,9:57 PM,PARKING STRUCTURE D,1404888,12/12/2014,9:25 PM,PROPERTY,"The roof of a non-USC male's vehicle came into contact with an overhead ceiling beam while he was driving inside the location, causing minor damage to the vehicle.",THEFT,Saturday
12/13/2014,2:09 AM,UNIVERSITY GATEWAY APARTMENTS,1404889,12/13/2014,2:08 AM,BATTERY,"A suspect approached a student who was walking near the location and struck him in the face with the palms of his hands without provocation.  DPS officers on routine patrol happened to observe the incident and detained the suspect, then he was arrested and transported to 77th station for booking.",PHYSICAL HARM,Sunday
12/13/2014,7:27 AM,DAVID X. MARKS RESIDENCE HALL,1404890,12/13/2014,7:30 AM,SERVICE,"DPS officers responded to a student who reported that she had been suffering from severe headaches after falling and hitting her head two days earlier.  An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student, then she was released to the officers per her request and they transported her to California Hospital for medical treatment.",ADMIN/SERVICE/COMPLAINT,Sunday
12/13/2014,2:58 PM,ELVON & MABEL MUSICK LAW BUILDING CENTER,1404891,12/12/2014,8:00 AM,THEFT-PETTY,A suspect removed a bicycle secured to a bike rack.,THEFT,Saturday
12/13/2014,2:15 PM,ROGER AND MICHELE DEDEAUX ENGEMANN STUDENT HEALTH CENTER,1404892,12/13/2014,2:20 PM,SERVICE,"DPS officers responded to a student who fainted.  An LAFD RA unit was requested and Unit #15 responded.  The RA Unit examined the student and offered transportation for medical treatment, but she declined and was subsequently released into the care of a friend.",ADMIN/SERVICE/COMPLAINT,Sunday
