File Name,Reported,Time Reported,Location,Report #,Occurred,Time Occurred,Incident Type,Summary,Disposition,IncidentGroups,TimeGroups,Lat,Long,AREA_COLOR
part_158,8/3/14,11:03PM,ROGER WILLIAMS BAPTIST,1402713,8/3/14,10:52PM,PROPERTY,DPS officers responded to a report of a suspect carrying a locked bicycle near the location and detained her for investigation. The suspect claimed that a friend gave her the bike and the officers were unable to locate the owner to determine if a crime had been committed. The suspect was then released and the bike was impounded at the DPS office.,Inactive Investigation,THEFT,9 PM - 12 AM,,,XXX
part_158,8/4/14,04:26AM,29TH ST & ORCHARD AV,1402714,8/4/14,03:30AM,PROPERTY,A wallet was found at the location and turned in to DPS Lost & Found.,CLOSED,THEFT,12 AM - 3 AM,34.028379,-118.2882217,T
part_158,8/4/14,04:13PM,ALPHA DELTA PI,1402715,8/3/14,03:00PM,THEFT-PETTY,A suspect removed the side view mirrors.,Inactive Investigation,THEFT,12 PM - 3 PM,,,XXX
part_158,8/4/14,04:40PM,JANE HOFFMAN POPOVICH & J. KRISTOFFER POPOVICH HAL,1402716,8/4/14,04:40PM,SERVICE,DPS officers responded to a student who suffered a seizure. An LAFD RA unit was requested and Unit #246 responded. The RA Unit examined the student then transported him to California Hospital for medical treatment.,CLOSED,ADMIN/SERVICE/COMPLAINT,3 PM - 6 PM,,,XXX
part_158,8/4/14,04:59PM,ADAMS BL & FIGUEROA ST,1402717,8/4/14,04:59PM,TRAFFIC,"A non-USC male driving his personal vehicle collided with a second vehicle in which a student was a passenger, causing unspecified damage.",CLOSED,ADMIN/SERVICE/COMPLAINT,3 PM - 6 PM,34.028425,-118.2760028,R
part_158,8/4/14,07:36PM,1029 25TH ST,1402718,8/4/14,07:20PM,THEFT-PETTY,A student reported that he lost his wallet and subsequently learned that a suspect used a pre-paid credit card inside it to make an unauthorized purchase.,CLOSED,THEFT,6 PM - 9 PM,,,XXX
part_158,8/4/14,10:59PM,BING THEATRE,1402719,8/4/14,10:45PM,TRAFFIC,"A staff member drove a University vehicle into a parking bollard, damaging the front bumper.",CLOSED,ADMIN/SERVICE/COMPLAINT,9 PM - 12 AM,,,XXX
part_158,8/4/14,10:55PM,FLUOR TOWER,1402720,8/4/14,10:50PM,DISTURBANCE,DPS officers responded to a report of two students involved in an altercation at the location. The students had been separated when the officers arrived and a witness informed them that the subjects were involved in a verbal argument that escalated into a physical altercation. Neither of the students was injured and the officers cleared the scene after advising them that the matter would be referred to Judicial Affairs.,Cleared by Exceptional Means,ADMIN/SERVICE/COMPLAINT,9 PM - 12 AM,34.0249027,-118.2882911,C
part_158,8/5/14,01:48AM,34TH ST & FIGUEROA ST,1402721,8/5/14,01:43AM,VANDALISM,Two students were cited to Judicial Affairs for writing their names in wet cement near the location.,Cleared by Exceptional Means,ADMIN/SERVICE/COMPLAINT,12 AM - 3 AM,34.02120399,-118.2805966,C
part_158,8/5/14,04:27AM,2684 ORCHARD AV,1402722,8/4/14,10:30PM,PROPERTY,"DPS officers recovered a bicycle from a non-USC male who reported that a suspect abandoned it on his property. The bike was registered to a student, but the officers were unable to contact her to determine if a crime had occurred. The bike was then impounded at the DPS office until the student could claim it.",CLOSED,THEFT,9 PM - 12 AM,,,XXX
